sep=,
"Time","thA"
1695451455720,13.64
1695453255626,13.7
1695454994215,13.91
1695455917500,14.12
1695456790646,14.34
1695457683805,14.56
1695458496714,14.77
1695459289583,14.98
1695460102563,15.19
1695461065984,15.41
1695461889022,15.63
1695462671868,15.84
1695463274062,16.06
1695463735696,16.29
1695464006680,16.51
1695464508471,16.72
1695464899914,16.93
1695465391745,17.14
1695466234829,17.35
1695467077911,17.59
1695467519548,17.8
1695468051519,18.01
1695468844436,18.22
1695469286074,18.43
1695470651132,18.64
1695471383822,18.86
1695472297205,19.07
1695473471566,19.28
1695474394943,19.49
1695474916894,19.7
1695475810221,19.91
1695477610439,19.75
1695478309599,19.97
1695479395626,20.41
1695481195765,20.57
1695481985190,20.78
1695483430501,21
1695485230563,21.09
1695487030543,20.98
1695487116646,20.98
1695488830613,20.79
1695490225448,20.58
1695491229219,20.35
1695492353140,20.13
1695493587942,19.91
1695494270571,19.7
1695494822601,19.47
1695495736064,19.24
1695497536339,19.19
1695499336486,19.01
1695500614321,18.8
1695501276801,18.59
1695501969348,18.37
1695503565243,18.16
1695504619112,17.94
1695505853617,17.73
1695506787065,17.51
1695508031723,17.3
1695508824647,17.08
1695509888538,16.86
1695511688718,16.72
1695512357733,16.51
1695513090424,16.3
1695513923474,16.09
1695514615972,15.88
1695516416046,15.93
1695517647047,15.72
1695519447058,15.6
1695521159696,15.38
1695522959657,15.19
1695524759401,15.01
1695525474923,14.8
1695527275206,14.64
1695528656635,14.43
1695529579949,14.21
1695531380080,14.19
1695532400183,13.98
1695534200065,13.8
1695535999969,13.69
1695537799905,13.64
1695538863264,13.43
1695540619424,13.64
1695541984247,13.86
1695542977791,14.07
1695543780766,14.28
1695544513391,14.49
1695545175756,14.71
1695545727694,14.92
1695546249635,15.14
1695546741414,15.36
1695547243229,15.57
1695547855436,15.78
1695548317094,15.99
1695548989485,16.21
1695549200240,16.43
1695549752268,16.66
1695550223974,16.88
1695550464835,17.1
1695550986729,17.32
1695551488551,17.53
1695551940181,17.75
1695552241295,17.96
1695552522336,18.17
1695552913791,18.39
1695553315256,18.61
1695553726829,18.82
1695554118345,19.04
1695554389374,19.27
1695554770855,19.49
1695555583924,19.7
1695555965357,19.91
1695556477351,20.12
1695556898944,20.33
1695557099676,20.55
1695557922660,20.76
1695558585115,20.97
1695559036782,21.19
1695559729250,21.41
1695560502088,21.63
1695561485675,21.85
1695562268525,22.06
1695562900927,22.28
1695563583483,22.49
1695564005008,22.72
1695564356318,22.93
1695564697546,23.14
1695564928395,23.37
1695565219477,23.59
1695565640987,23.81
1695566032446,24.02
1695566504162,24.23
1695566986022,24.44
1695567819155,24.67
1695568441486,24.89
1695570241731,25.05
1695572041969,25.14
1695573842065,25.15
1695575642340,25.01
1695576090034,24.79
1695576391181,24.57
1695576682270,24.34
1695577123887,24.13
1695577374821,23.92
1695577625756,23.71
1695577866669,23.49
1695578238071,23.27
1695578679719,23.05
1695579352245,22.84
1695580135172,22.62
1695581440094,22.4
1695582002162,22.19
1695583447500,21.98
1695583979505,21.76
1695584391049,21.54
1695585113679,21.32
1695585304366,21.11
1695585615508,20.9
1695586548936,20.68
1695587351870,20.46
1695588455986,20.25
1695588867532,20.03
1695589419576,19.8
1695589710662,19.59
1695589971653,19.38
1695590302883,19.16
1695591477211,18.95
1695592882440,18.74
1695594682549,18.58
1695595150790,18.37
1695595552267,18.16
1695596144484,17.94
1695596415569,17.73
1695598162085,17.51
1695599962155,17.38
1695601762214,17.18
1695603160316,16.96
1695604555628,16.74
1695606355884,16.64
1695607285723,16.43
1695608309382,16.22
1695609664416,16.01
1695611430789,15.79
1695612484649,15.57
1695614284692,15.38
1695616084624,15.23
1695616358611,15.02
1695617021064,14.8
1695618215446,14.57
1695619640748,14.35
1695621440706,14.25
1695622952517,14.04
1695624752465,14.16
1695626552384,14.25
1695628352398,14.42
1695629194856,14.64
1695630168433,14.85
1695630750539,15.07
1695631322611,15.29
1695631904742,15.51
1695632456740,15.74
1695633189406,15.96
1695633681182,16.18
1695634213148,16.39
1695634644740,16.61
1695635016090,16.85
1695635337309,17.06
1695635658493,17.28
1695636160347,17.5
1695636441400,17.73
1695636722444,17.94
1695637264414,18.16
1695637364754,18.37
1695637816400,18.58
1695637987007,18.8
1695638589266,19.01
1695639051015,19.22
1695639492694,19.45
1695639813907,19.66
1695640275684,19.87
1695640516549,20.08
1695640968234,20.3
1695641269339,20.52
1695641590482,20.73
1695641951787,20.94
1695642132440,21.16
1695642473715,21.38
1695642955487,21.6
1695643286671,21.81
1695643547613,22.03
1695643778474,22.24
1695644029409,22.46
1695644912707,22.67
1695645936502,22.89
1695646478497,23.11
1695647020522,23.33
1695647472224,23.54
1695648305305,23.75
1695648586388,23.97
1695649148481,24.19
1695649730592,24.41
1695650362999,24.63
1695650834749,24.86
1695651125807,25.08
1695651286399,25.3
1695651667839,25.52
1695651968967,25.74
1695652440743,25.97
1695652822157,26.19
1695654096952,26.41
1695655070627,26.63
1695656870945,26.72
1695658671170,26.76
1695660471439,26.8
1695661966567,26.57
1695662438364,26.36
1695662880022,26.14
1695663261477,25.93
1695663522464,25.72
1695663913967,25.5
1695664215112,25.27
1695664486126,25.06
1695664937782,24.82
1695665289056,24.61
1695666062018,24.39
1695667296637,24.16
1695669063328,23.94
1695669213883,23.71
1695669645519,23.49
1695670137330,23.27
1695670388312,23.05
1695670558926,22.84
1695670930335,22.62
1695673730764,22.4
1695674353096,22.19
1695674654213,21.97
1695675005537,21.76
1695675256446,21.54
1695675396965,21.32
1695675688083,21.11
1695676300350,20.9
1695677575038,20.68
1695678167190,20.46
1695679967304,20.27
1695681288703,20.06
1695681911054,19.84
1695683266122,19.6
1695684320135,19.39
1695685042813,19.17
1695685755477,18.95
1695687555745,18.76
1695689355913,18.61
1695690924755,18.4
1695691486864,18.18
1695692289888,17.96
1695694090031,17.84
1695695890175,17.7
1695697690286,17.54
1695699345878,17.33
1695701145958,17.18
1695702497406,16.96
1695703200027,16.74
1695705000193,16.55
1695706713027,16.34
1695707877354,16.12
1695709677453,16
1695711477457,16.01
1695713076316,16.22
1695714541726,16.43
1695715625648,16.64
1695716177625,16.85
1695717372086,17.06
1695718255344,17.28
1695718967953,17.5
1695719560184,17.72
1695719941575,17.93
1695720343025,18.14
1695720734460,18.36
1695721768295,18.79
1695722169827,19.01
1695722671708,19.22
1695723133450,19.45
1695723434571,19.66
1695723715603,19.87
1695724267655,20.08
1695724538677,20.31
1695725171089,20.52
1695725572557,20.73
1695726024252,20.94
1695726255135,21.16
1695726556225,21.38
1695726867333,21.59
1695727308954,21.81
1695727740558,22.05
1695728282509,22.26
1695728563525,22.47
1695728985109,22.69
1695729466915,22.9
1695729878471,23.11
1695730390373,23.33
1695730811928,23.54
1695731263594,23.75
1695731494472,23.97
1695732036505,24.19
1695732688949,24.41
1695733261077,24.63
1695733963714,24.84
1695734686446,25.05
1695735720275,25.26
1695736382719,25.47
1695737055296,25.68
1695737406580,25.89
1695737828148,26.11
1695738390291,26.34
1695739163260,26.56
1695739966333,26.77
1695741766589,26.95
1695743566922,26.99
1695745367299,26.98
1695747167592,26.86
1695748759526,26.64
1695749432063,26.43
1695750235092,26.21
1695750917654,25.99
1695751590169,25.77
1695752192460,25.56
1695753005494,25.35
1695753517421,25.14
1695754762066,24.93
1695755233842,24.72
1695756016727,24.5
1695757130911,24.29
1695757883749,24.08
1695758395687,23.86
1695759640321,23.64
1695760704226,23.42
1695761577497,23.2
1695762631421,22.99
1695763404324,22.78
1695764217269,22.57
1695765000096,22.36
1695766365099,22.15
1695767158119,21.94
1695768292342,21.72
1695769205713,21.51
1695769938431,21.3
1695770159249,21.09
1695770671140,20.88
1695772471193,20.73
1695773049832,20.52
1695774394744,20.31
1695775629259,20.1
1695776492545,19.88
1695777395915,19.66
1695778951733,19.45
1695780055851,19.24
1695781641779,19.02
1695783127315,18.8
1695783819908,18.59
1695785516195,18.37
1695787112146,18.16
1695788788351,17.94
1695790313960,17.73
1695791648912,17.51
1695792180851,17.3
1695793981045,17.22
1695795432886,17
1695797232980,16.93
1695798534303,16.72
1695800334483,16.88
1695801324648,17.1
1695802338380,17.32
1695803191514,17.53
1695803633158,17.75
1695804064758,17.98
1695804847702,18.21
1695805138786,18.42
1695805560330,18.64
1695805981837,18.86
1695806252893,19.07
1695806704557,19.28
1695807176349,19.49
1695807748499,19.7
1695808069727,19.91
1695808601724,20.12
1695809023293,20.34
1695809203980,20.57
1695809454919,20.78
1695809776113,21
1695810157533,21.21
1695810629277,21.42
1695811010702,21.63
1695811482485,21.85
1695811813701,22.06
1695812275357,22.27
1695812666782,22.49
1695812977914,22.71
1695813238843,22.92
1695813439607,23.14
1695813971602,23.38
1695814282755,23.59
1695814834813,23.81
1695815186137,24.02
1695815537451,24.23
1695815969082,24.44
1695816179867,24.68
1695816360536,24.89
1695816601435,25.12
1695816731913,25.34
1695816902548,25.56
1695817153476,25.77
1695817795904,25.98
1695818086985,26.19
1695818428287,26.42
1695818859933,26.64
1695819251396,26.86
1695820114649,27.09
1695820425806,27.31
1695821780875,27.53
1695822804728,27.75
1695823607804,27.97
1695824169939,28.19
1695824711989,28.4
1695825053258,28.62
1695825786014,28.84
1695827586272,28.96
1695829386416,29
1695831186605,28.91
1695832986786,28.72
1695834468223,28.51
1695835973899,28.29
1695836315206,28.08
1695836756856,27.87
1695837549823,27.66
1695838342826,27.43
1695839687877,27.21
1695840511021,26.99
1695841012900,26.77
1695841675424,26.56
1695842488477,26.35
1695842869954,26.14
1695843110888,25.93
1695843612773,25.72
1695844977923,25.5
1695845319194,25.27
1695845811106,25.06
1695846252780,24.84
1695847095903,24.63
1695847487369,24.42
1695848832484,24.2
1695848983069,23.98
1695849655595,23.76
1695850107285,23.54
1695851472277,23.33
1695853272421,23.2
1695853911301,22.99
1695854322817,22.78
1695855838454,22.57
1695856882288,22.36
1695858066699,22.15
1695859866810,22
1695860756642,21.79
1695861820656,21.57
1695862924826,21.36
1695864724918,21.21
1695866317312,21
1695867983460,20.79
1695869529151,20.58
1695870964386,20.35
1695872088579,20.13
1695873042151,19.91
1695874842509,19.8
1695876642820,19.65
1695878382361,19.42
1695880182609,19.3
1695881433822,19.09
1695883160279,18.87
1695884960538,18.83
1695888561162,18.87
1695889614574,19.09
1695890287122,19.3
1695891009821,19.52
1695891652195,19.73
1695892184198,19.94
1695892776473,20.15
1695893268311,20.38
1695893970937,20.61
1695894412571,20.82
1695895024841,21.04
1695895436345,21.26
1695895857898,21.48
1695896389863,21.69
1695896761224,21.9
1695897122526,22.11
1695897493853,22.33
1695897915439,22.54
1695898487494,22.75
1695898929138,22.97
1695899430994,23.2
1695899852549,23.41
1695900223968,23.63
1695900695724,23.84
1695901117306,24.05
1695901609097,24.26
1695902131062,24.47
1695902482375,24.68
1695902914010,24.89
1695903566466,25.11
1695904048267,25.32
1695904459787,25.53
1695905132354,25.74
1695905764692,25.97
1695906507493,26.19
1695907380773,26.41
1695908163725,26.63
1695908906548,26.84
1695909438575,27.05
1695910010707,27.28
1695910462408,27.5
1695910733443,27.72
1695911155010,27.93
1695911526409,28.14
1695912168784,28.35
1695912510049,28.56
1695913062088,28.77
1695914778458,28.99
1695916163633,29.21
1695917963792,29.25
1695919764043,29.17
1695920971418,28.96
1695921945033,28.75
1695922446897,28.54
1695922858451,28.33
1695923179625,28.1
1695923811944,27.88
1695925428054,27.66
1695926341490,27.43
1695927927454,27.21
1695928800754,26.99
1695929242465,26.77
1695929623903,26.56
1695930095656,26.35
1695930697956,26.14
1695932153480,25.9
1695933167297,25.69
1695933890000,25.47
1695935475922,25.26
1695936088230,25.04
1695936569982,24.82
1695937162268,24.61
1695938962486,24.49
1695940083192,24.27
1695940695561,24.05
1695941879938,23.82
1695942893775,23.61
1695944118328,23.39
1695944600139,23.17
1695946400415,23.07
1695947982809,22.86
1695948815888,22.65
1695949879866,22.43
1695950833384,22.22
1695952057849,22.01
1695953021377,21.79
1695954296207,21.57
1695954828071,21.36
1695955500613,21.14
1695956574538,20.9
1695958240644,20.68
1695959665841,20.46
1695960649516,20.25
1695961954400,20.03
1695963068648,19.8
1695964202956,19.59
1695964684808,19.38
1695965869239,19.17
1695967669471,19.09
1695969469747,18.97
1695971269949,18.9
1695973070196,18.95
1695974350991,19.16
1695975676010,19.37
1695976539285,19.59
1695977292056,19.8
1695977894299,20.02
1695978305838,20.23
1695979088765,20.45
1695979440078,20.67
1695979731144,20.88
1695980443808,21.09
1695980995862,21.3
1695981537887,21.51
1695981768723,21.72
1695981999556,21.93
1695982441171,22.15
1695983093591,22.36
1695983274248,22.57
1695983725937,22.78
1695983946778,22.99
1695984428544,23.2
1695985030781,23.41
1695985422206,23.63
1695985853781,23.86
1695986084612,24.07
1695986727042,24.29
1695986977992,24.5
1695987409663,24.71
1695988212669,24.93
1695988774784,25.14
1695989397155,25.35
1695989889037,25.56
1695990451183,25.77
1695991093589,25.98
1695991766136,26.19
1695992388500,26.41
1695993723553,26.63
1695994024702,26.84
1695995500271,27.05
1695996162802,27.28
1695996975908,27.51
1695997648495,27.72
1695998260789,27.93
1696000061079,28.09
1696001861423,28.17
1696003661738,28.14
1696005461979,28.05
1696006843178,27.84
1696008067819,27.63
1696008951145,27.42
1696009764291,27.21
1696010517164,26.99
1696011310147,26.77
1696012103088,26.56
1696013177125,26.35
1696014070537,26.14
1696015315232,25.93
1696016770669,25.72
1696017955219,25.5
1696018748206,25.27
1696019651616,25.06
1696020605225,24.84
1696022405524,24.69
1696024205720,24.59
1696025613986,24.38
1696026878823,24.17
1696027491095,23.95
1696027731976,23.74
1696029532083,23.54
1696030351650,23.33
1696031917466,23.12
1696033001470,22.9
1696034065428,22.69
1696035601173,22.47
1696036775522,22.26
1696037789280,22.05
1696038833095,21.83
1696040418818,21.61
1696041181680,21.39
1696042981878,21.21
1696044694627,21
1696045939175,20.79
1696046681935,20.58
1696048378169,20.35
1696050178483,20.16
1696051520026,19.95
1696053236555,19.73
1696054722121,19.52
1696056522403,19.5
1696058322695,19.52
1696060122929,19.59
1696061306838,19.8
1696062260438,20.02
1696062973101,20.23
1696063645608,20.45
1696064187606,20.67
1696064729646,20.89
1696065321814,21.11
1696065763418,21.32
1696066164904,21.53
1696066526252,21.74
1696067078265,21.96
1696067389394,22.18
1696068041781,22.4
1696068533631,22.62
1696068864831,22.83
1696069547392,23.04
1696069868583,23.26
1696070410577,23.49
1696070982720,23.71
1696071233652,23.92
1696072046720,24.13
1696072508412,24.34
1696072779420,24.56
1696073542322,24.78
1696074164651,25
1696074686608,25.21
1696075349107,25.42
1696075830930,25.64
1696076734270,25.86
1696077497081,26.08
1696078300097,26.3
1696078962570,26.51
1696079494604,26.72
1696081120729,26.94
1696082425645,27.16
1696083007823,27.38
1696083710501,27.6
1696084102003,27.81
1696084834756,28.02
1696086400604,28.23
1696088200826,28.36
1696090001066,28.44
1696091619951,28.23
1696093135638,28.02
1696094540922,27.79
1696095564764,27.58
1696096598741,27.36
1696097311463,27.14
1696098235036,26.92
1696100035335,26.77
1696101417035,26.56
1696102471109,26.35
1696103244047,26.14
1696104097289,25.93
1696104257910,25.72
1696104629271,25.5
1696105351970,25.27
1696106476183,25.05
1696107218991,24.82
1696108965572,24.61
1696112258502,24.61
1696112659440,23.74
1696113151304,23.52
1696113833843,23.31
1696114255405,23.09
1696114546480,22.87
1696115259094,22.65
1696116804851,22.43
1696118604953,22.3
1696118922624,22.09
1696120722749,22.01
1696122003965,21.79
1696122415486,21.56
1696124111752,21.35
1696125911913,21.2
1696127712021,21.08
1696129431417,20.86
1696129923248,20.65
1696131679642,20.43
1696133479804,20.3
1696135280058,20.13
1696137080300,19.94
1696138515290,19.73
1696140171453,19.52
1696141971718,19.38
1696143771992,19.34
1696144989595,19.13
1696146789797,19.31
1696147709762,19.52
1696148653229,19.73
1696149375970,19.94
1696150028430,20.15
1696150640738,20.38
1696151062356,20.6
1696151734845,20.82
1696152005835,21.04
1696152678329,21.26
1696153340786,21.5
1696153842676,21.71
1696154294330,21.93
1696154806233,22.15
1696155157539,22.36
1696155528900,22.57
1696155870104,22.78
1696156372010,22.99
1696156663102,23.2
1696157295463,23.41
1696157807324,23.63
1696158309176,23.84
1696158560117,24.05
1696158760837,24.26
1696159614028,24.47
1696160025541,24.68
1696160276478,24.89
1696160617766,25.11
1696160999178,25.34
1696161922641,25.56
1696162294037,25.77
1696162805972,25.98
1696163368091,26.19
1696163709368,26.41
1696164251419,26.63
1696164492321,26.84
1696164913906,27.05
1696165305404,27.26
1696165837404,27.47
1696166479781,27.68
1696167082008,27.9
1696167684322,28.13
1696168637850,28.35
1696169019259,28.56
1696169741984,28.77
1696170193650,28.99
1696170896270,29.21
1696171327842,29.42
1696172130779,29.63
1696173375465,29.84
1696174399316,30.05
1696175553605,30.26
1696177353865,30.38
1696179154199,30.34
1696179859808,30.12
1696181184788,29.9
1696182720587,29.68
1696183513541,29.46
1696184276320,29.25
1696184988976,29.03
1696185259989,28.82
1696186283794,28.6
1696187397961,28.38
1696188180845,28.17
1696188793174,27.95
1696189415490,27.73
1696190128213,27.51
1696190770624,27.28
1696191563566,27.06
1696192216085,26.84
1696192948900,26.63
1696193430690,26.42
1696193862325,26.21
1696194364240,25.99
1696195498523,25.77
1696196401909,25.56
1696224846746,25.56
1696225299672,20.3
1696227099811,20.41
1696228900007,20.49
1696230700186,20.52
1696232500437,20.5
1696234300604,20.65
1696235206542,20.86
1696236180086,21.08
1696237645421,21.29
1696238327907,21.5
1696238689203,21.71
1696239140870,21.93
1696239783271,22.15
1696240044236,22.36
1696240244988,22.57
1696240475834,22.78
1696240676555,22.99
1696240917413,23.2
1696241138243,23.41
1696241459403,23.63
1696241750472,23.84
1696242081696,24.05
1696242412897,24.26
1696242814420,24.47
1696243105523,24.68
1696243336362,24.89
1696243747866,25.12
1696244028914,25.34
1696244540873,25.56
1696244912246,25.77
1696245464352,25.98
1696246016462,26.19
1696246508303,26.41
1696247080435,26.63
1696247582288,26.84
1696248194596,27.05
1696249208445,27.26
1696250061688,27.47
1696251085546,27.68
1696251798262,27.91
1696253598629,28.05
1696254629018,28.26
1696255753190,28.47
1696256636430,28.68
1696258436680,28.78
1696260236962,28.7
1696262037290,28.68
1696263837561,28.58
1696264847210,28.36
1696265579955,28.14
1696266292592,27.93
1696266864733,27.72
1696267758083,27.51
1696268390526,27.29
1696269635277,27.06
1696270428295,26.84
1696270910138,26.63
1696271351805,26.42
1696272887625,26.21
1696273690618,25.99
1696274624123,25.77
1696275447210,25.56
1696276641700,25.35
1696277926547,25.14
1696279030676,24.93
1696279954086,24.72
1696280516183,24.5
1696281138506,24.29
1696281951575,24.08
1696282764609,23.86
1696284410763,23.64
1696285655409,23.41
1696286448336,23.2
1696287974025,22.99
1696289288944,22.78
1696290393004,22.56
1696291607527,22.34
1696292902411,22.13
1696293514702,21.9
1696294618800,21.67
1696296023938,21.46
1696297824090,21.38
1696299624242,21.35
1696301424377,21.16
1696303224497,21.06
1696305024695,20.97
1696306824799,21.01
1696308624900,21.09
1696310424980,21.14
1696311952619,21.35
1696313752689,21.41
1696315552821,21.34
1696317352916,21.38
1696319152987,21.42
1696320953091,21.51
1696322753281,21.66
1696324498722,21.87
1696325984162,22.08
1696327389352,22.3
1696328473416,22.52
1696329176075,22.74
1696329738196,22.96
1696330380539,23.17
1696331233668,23.38
1696331805801,23.59
1696333241137,23.81
1696334485759,24.02
1696336286000,24.14
1696337446876,23.92
1696337978808,23.71
1696339778970,23.56
1696341579152,23.44
1696343379301,23.6
1696345179434,23.76
1696346979704,23.81
1696348779965,23.76
1696350580205,23.79
1696352380420,23.78
1696354180525,23.63
1696355980701,23.45
1696356808820,23.24
1696358214062,23.02
1696360014216,22.93
1696361814324,22.89
1696363614529,22.84
1696365414757,22.68
1696366685462,22.47
1696368485752,22.33
1696370285921,22.22
1696372086095,22.03
1696373821977,21.82
1696375622120,21.71
1696376993742,21.5
1696377796666,21.29
1696379596870,21.13
1696381396885,21.08
1696383166364,20.86
1696384966556,20.83
1696386766684,20.7
1696387833613,20.49
1696389048125,20.28
1696390292770,20.06
1696391758310,19.83
1696392511114,19.6
1696393544959,19.39
1696395345220,19.32
1696397145436,19.12
1696398613933,18.91
1696400414215,18.73
1696401795854,18.52
1696403595949,18.47
1696405396205,18.61
1696407196415,18.73
1696408500746,18.94
1696409574781,19.16
1696410317581,19.37
1696411190863,19.59
1696411863372,19.8
1696412515880,20.02
1696413238561,20.23
1696413911084,20.46
1696414402904,20.67
1696415005131,20.88
1696415757910,21.09
1696416430355,21.3
1696417424073,21.51
1696418247164,21.72
1696419050159,21.93
1696420073900,22.15
1696421067565,22.36
1696422262025,22.57
1696423867996,22.78
1696425293334,22.99
1696427093603,23.05
1696428143967,23.26
1696429067596,23.48
1696429800204,23.69
1696431600389,23.85
1696433400683,23.98
1696437001150,23.84
1696438643265,23.61
1696439807644,23.39
1696440921842,23.17
1696441734889,22.96
1696442608159,22.75
1696444408291,22.56
1696445338254,22.34
1696446131209,22.12
1696447456088,21.91
1696448429671,21.69
1696449312953,21.48
1696450135929,21.27
1696450687971,21.06
1696451340364,20.85
1696452701332,20.64
1696453955935,20.43
1696454779024,20.21
1696455039983,19.98
1696455963475,19.76
1696457027485,19.54
1696458091523,19.32
1696458794138,19.1
1696460540624,18.87
1696461624707,18.65
1696462969757,18.44
1696464104070,18.22
1696465107834,18.01
1696466081468,17.78
1696467406351,17.57
1696468932052,17.36
1696470487794,17.15
1696622450165,17.15
1696622503943,22.15
1696622818513,21.94
1696623611503,21.72
1696624454622,21.51
1696625097041,21.3
1696625940213,21.09
1696626592624,20.88
1696627405677,20.67
1696627706777,20.46
1696627867382,20.25
1696628158480,20.03
1696629102050,19.8
1696630386966,19.59
1696631009302,19.38
1696632043207,19.17
1696633097168,18.95
1696634060746,18.74
1696634763382,18.52
1696635827320,18.31
1696636660396,18.09
1696637573896,17.88
1696639300333,17.66
1696640544969,17.44
1696641639081,17.23
1696642632781,17
1696643857296,16.78
1696645162238,16.57
1696646045528,16.34
1696647340336,16.12
1696648605031,15.89
1696650221032,15.68
1696651917246,15.46
1696653442891,15.25
1696654556996,15.04
1696655992261,14.83
1696657377364,14.62
1696659177376,14.46
1696660977418,14.39
1696662777406,14.43
1696664041643,14.21
1696665841723,14.39
1696666550790,14.6
1696667363776,14.82
1696667915838,15.04
1696668618414,15.25
1696669080124,15.46
1696669501695,15.67
1696670174143,15.88
1696670515408,16.09
1696670926979,16.3
1696671469001,16.51
1696671930699,16.72
1696672362306,16.93
1696672803982,17.14
1696673145221,17.35
1696673536686,17.57
1696673847856,17.78
1696674229262,17.99
1696674550461,18.21
1696674861613,18.42
1696675363466,18.64
1696675644526,18.86
1696676076164,19.09
1696676296974,19.3
1696676648286,19.52
1696676969529,19.73
1696677260612,19.94
1696677621980,20.15
1696678023475,20.38
1696678565540,20.6
1696679057336,20.82
1696679430348,21.04
1696679681305,21.26
1696680203258,21.48
1696680554516,21.69
1696681026296,21.9
1696681598457,22.11
1696682351284,22.33
1696682612244,22.54
1696684107896,22.75
1696684870737,22.96
1696685904620,23.17
1696686818046,23.38
1696687430350,23.59
1696688122945,23.81
1696688715146,24.02
1696689337466,24.23
1696690140566,24.44
1696691264807,24.67
1696692288719,24.89
1696693352762,25.11
1696695153150,25.23
1696696953448,25.26
1696697729383,25.05
1696698261392,24.84
1696698823524,24.63
1696699184878,24.42
1696699606512,24.2
1696700048190,23.98
1696700529990,23.76
1696701573947,23.54
1696702216357,23.33
1696702778508,23.12
1696703180029,22.9
1696703541388,22.69
1696703842513,22.47
1696704123592,22.26
1696704464877,22.05
1696706050884,21.83
1696707064634,21.61
1696707556484,21.39
1696708851328,21.17
1696709383313,20.95
1696711099737,20.73
1696711922869,20.52
1696712505001,20.31
1696713137401,20.1
1696713739749,19.88
1696713880286,19.66
1696714944240,19.45
1696715787451,19.24
1696716088632,19.02
1696717888979,18.82
1696718206705,18.61
1696719993374,18.4
1696720876679,18.18
1696721920614,17.96
1696723295730,17.75
1696724690942,17.54
1696725925533,17.33
1696727059719,17.11
1696728859960,16.93
1696730522674,16.72
1696731787409,16.51
1696732841369,16.3
1696734296682,16.09
1696735220076,15.86
1696736273949,15.64
1696738074057,15.49
1696738712947,15.27
1696739616256,15.05
1696741416346,14.92
1696742065271,14.71
1696743865466,14.64
1696745665550,14.49
1696747465557,14.37
1696751065678,14.57
1696752102034,14.79
1696752824685,15
1696753577497,15.22
1696754039194,15.43
1696754681558,15.64
1696755223535,15.86
1696755735403,16.07
1696756237281,16.29
1696756538386,16.51
1696757170735,16.72
1696757582281,16.93
1696757863337,17.14
1696758264817,17.35
1696758565963,17.57
1696758816871,17.78
1696759258505,17.99
1696759700158,18.21
1696760041440,18.42
1696760442925,18.64
1696760864517,18.86
1696761245916,19.07
1696761647433,19.28
1696761998772,19.49
1696762299933,19.7
1696762621143,19.91
1696763012584,20.13
1696763675106,20.34
1696763905967,20.55
1696764528295,20.76
1696764859543,20.97
1696765240981,21.2
1696765843200,21.41
1696766124248,21.63
1696766736481,21.87
1696767117849,22.08
1696767619700,22.3
1696768201867,22.52
1696768753949,22.74
1696769446592,22.96
1696769888252,23.17
1696770470443,23.38
1696771203222,23.59
1696772066474,23.81
1696772819267,24.02
1696773572110,24.23
1696774154305,24.44
1696774947308,24.67
1696775579707,24.89
1696776202088,25.11
1696776734104,25.32
1696777617425,25.53
1696778530844,25.74
1696779514518,25.97
1696792700100,25.97
1696792794839,23.27
1696792955458,23.05
1696794360655,22.83
1696794641719,22.6
1696794862539,22.38
1696795284157,22.38
1696796197459,22.16
1696796478457,21.93
1696797090728,21.72
1696797281425,21.51
1696798244944,21.3
1696798676545,21.09
1696800473172,20.88
1696801015161,20.67
1696801898420,20.46
1696803363898,20.25
1696804407770,20.03
1696805271032,19.8
1696806234591,19.59
1696807077735,19.38
1696808131662,19.17
1696808914560,18.95
1696810410133,18.74
1696811393843,18.52
1696812417620,18.31
1696813140285,18.09
1696814113900,17.88
1696815328330,17.66
1696816783648,17.44
1696817185152,17.23
1696817837565,17
1696819232653,16.78
1696820788346,16.57
1696821781972,16.36
1696822735469,16.15
1696824411554,15.94
1696825917035,15.72
1696827151533,15.51
1696828546603,15.3
1696829791189,15.08
1696831591310,14.94
1696833391452,14.74
1696835191507,14.68
1696835682658,14.47
1696837482715,14.62
1696838282068,14.85
1696839115026,15.07
1696839767337,15.29
1696840369499,15.51
1696841041938,15.72
1696841583900,15.93
1696841945222,16.14
1696842537412,16.36
1696842808381,16.58
1696843129513,16.8
1696843812034,17.04
1696844404269,17.25
1696844795702,17.46
1696845267409,17.68
1696845668876,17.9
1696846110526,18.11
1696846461841,18.33
1696846843259,18.54
1696847224672,18.76
1696847626178,18.97
1696848027678,19.2
1696848439248,19.41
1696848810638,19.63
1696849292433,19.84
1696849744132,20.05
1696850145638,20.27
1696850667615,20.48
1696850958689,20.7
1696851410341,20.92
1696851631172,21.13
1696852062759,21.34
1696852484300,21.56
1696852825560,21.78
1696853176826,22
1696853698818,22.21
1696854030051,22.42
1696854281006,22.64
1696854712617,22.86
1696855425190,23.08
1696855927045,23.29
1696856780205,23.51
1696857512906,23.74
1696858135218,23.95
1696858777596,24.16
1696859379859,24.37
1696859992162,24.59
1696860925623,24.81